nox_value,facility_id,wind_speed,wind_direction,day,month,year,average_temp_K_,average_solarrad_Wm2_,average_RH_perc_,average_cloud_fraction_,average_no2_kgm2_,average_no2flux_kgm2s_
2993.164753,3,25738.03947,206.5391669,30,1,2023,1360,25690,55.187935,0.02537153149,4.08E-06,7.76E-10
2752.195523,4,29012.54077,221.7025848,30,1,2023,915,25557,57.64358,0.07591706653,4.53E-06,1.13E-09
4912.441381,5,15680.80154,243.6865957,30,1,2023,11241,26295,48.49903,0.07970801303,6.21E-06,1.15E-09
6246.685748,6,4339.223894,233.3202425,30,1,2023,7666,27906,57.522846,0.02878450401,6.40E-06,2.58E-09
4789.589976,7,13327.15457,194.4251748,30,1,2023,26267,25480,50.392662,0.06084732231,6.26E-06,-9.74E-11
4029.751483,0,6228.452938,226.327078,31,1,2023,11671,21246,68.66056,0.04884569618,3.45E-06,1.43E-09
2753.559962,4,21627.06094,253.3657167,31,1,2023,3569,20711,61.249084,0.09388009664,6.54E-06,1.00E-09
4882.531859,5,13321.961,193.7170502,31,1,2023,3769,20788,62.999207,0.0904306901,8.05E-06,1.60E-09
7546.059039,6,20526.30741,204.3524738,31,1,2023,946,20853,70.27042,0.02879173994,1.14E-05,7.82E-10
4774.063535,7,32089.59735,248.7758426,31,1,2023,26363,23604,54.526775,0.06975387946,1.05E-05,6.94E-10
6468.622777,0,5695.206581,253.0222723,28,9,2022,6846,20560,78.09766,0.109247649,1.46E-06,2.69E-10
2391.04113,3,9620.18295,267.1161807,28,9,2022,15909,23152,71.01608,0.06709656947,3.02E-06,7.93E-11
4048.147706,4,18717.45763,256.976474,28,9,2022,12502,20027,73.02643,0.1159107886,2.09E-06,2.81E-11
4927.291313,5,12384.45223,183.8845486,28,9,2022,13150,20266,75.64136,0.09861875078,2.85E-06,8.60E-10
12121.16731,6,21868.84892,203.6509805,28,9,2022,17589,19835,74.63974,0.05919999006,6.46E-06,1.89E-09
9916.186023,7,29850.73106,267.5750618,28,9,2022,26619,24507,64.0012,0.06915714398,2.57E-06,2.94E-10
9744.216212,7,30545.18047,254.4490801,4,5,2022,27065,2372,64.92488,0.2098647155,4.74E-06,5.66E-10
